ticker,fiscal_year,exploitable,raison_non_exploitable,date_annonce,date_ex,date_paiement,montant,yield_pct,source_montant,n_ex_div_doublons_ignores,prix_annonce,prix_veille_ex,prix_jour_ex,prix_paiement,variation_annonce_a_veille_ex_pct,chute_reelle_fcfa,chute_reelle_pct_du_dividende,variation_ex_a_paiement_pct,variation_totale_annonce_a_paiement_pct,volume_moyen_avant_annonce,volume_moyen_annonce_a_ex,volume_moyen_ex_a_paiement
CABC,2022,False,pas d'AG trouvée dans la fenêtre 5-120j avant EX_DIVIDEND,,2023-07-31,2023-08-02,80.0,6.8,DIVIDEND_HISTORY,0,,,,,,,,,,,,
CABC,2023,False,prix manquant sur une des 4 dates clés (annonce/veille-ex/ex/paiement),2024-04-05,2024-05-29,2024-05-31,113.0,10.16,DIVIDEND_HISTORY,0,,,,,,,,,,,,
CABC,2024,False,prix manquant sur une des 4 dates clés (annonce/veille-ex/ex/paiement),2025-03-28,2025-05-28,2025-06-02,152.0,14.62,DIVIDEND_HISTORY,0,,,,,,,,,,,,
CABC,2025,True,,2026-04-27,2026-05-29,2026-06-01,152.02,4.35,DIVIDEND,0,3600.0,3700.0,3750.0,3500.0,2.78,-50.0,-32.9,-6.67,-2.78,4055,897.0,1740
CBIBF,2021,True,,2022-04-07,2022-07-04,2022-07-06,525.0,5.0,DIVIDEND_HISTORY,1,9795.0,8600.0,8600.0,8895.0,-12.2,0.0,0.0,3.43,-9.19,368.0,510.0,178
CBIBF,2022,True,,2023-04-17,2023-07-04,2023-07-06,790.0,9.42,DIVIDEND_HISTORY,1,7990.0,8300.0,8295.0,8280.0,3.88,5.0,0.6,-0.18,3.63,507.0,640.0,100.0
CBIBF,2023,True,,2024-04-12,2024-07-03,2024-07-05,555.0,5.97,DIVIDEND_HISTORY,1,9050.0,10600.0,10150.0,10415.0,17.13,450.0,81.1,2.61,15.08,2297.0,1056.0,729
CBIBF,2024,True,,2025-04-29,2025-07-03,2025-07-07,900.0,9.1,DIVIDEND_HISTORY,1,9800.0,10145.0,9750.0,9855.0,3.52,395.0,43.9,1.08,0.56,1218.0,1497.0,1298.0
CBIBF,2025,True,,2026-04-16,2026-06-18,2026-06-19,900.0,4.05,DIVIDEND,1,15700.0,22085.0,22400.0,22400.0,40.67,-315.0,-35.0,0.0,42.68,951.0,1037.0,60
CFAC,2021,True,,2022-06-21,2022-07-29,2022-08-02,29.0,2.41,DIVIDEND_HISTORY,0,865.0,870.0,850.0,835.0,0.58,20.0,69.0,-1.76,-3.47,5684.0,2749.0,672.0
