EXPLORATION FACTUELLE — FENÊTRE ±60J AUTOUR DU PAIEMENT DE DIVIDENDE
======================================================================
123/150 cycles exploitables sur 49 tickers

Variation totale (J-60 à J+60)  : médiane=+2.9%, moyenne=+6.2% (n=123)
Variation avant (J-60 à J-1)     : médiane=+2.5%, moyenne=+3.5% (n=92)
Variation après (J0 à J+60)      : médiane=+0.2%, moyenne=+2.8% (n=118)
Ratio volume après/avant          : médiane=0.97x, moyenne=1.24x (n=120)

Détail par cycle exploitable :
----------------------------------------------------------------------
TTLC     FY2021   paiement=2022-08-25 div=176.0F (DIVIDEND_HISTORY) | avant=-0.7% après=+2.3% total=+1.6% vol_ratio=1.36x
TTLC     FY2022   paiement=2023-09-21 div=200.0F (DIVIDEND_HISTORY) | avant=-3.4% après=-13.9% total=-16.8% vol_ratio=0.21x
TTLC     FY2023   paiement=2024-09-17 div=196.0F (DIVIDEND_HISTORY) | avant=+11.3% après=+4.4% total=+14.5% vol_ratio=0.50x
TTLC     FY2024   paiement=2025-09-03 div=140.0F (DIVIDEND_HISTORY) | avant=-8.6% après=-2.5% total=-10.9% vol_ratio=1.30x

Cycles NON exploitables (27) :
----------------------------------------------------------------------
ABJC     (aucun cycle) — aucun DIVIDEND_PAYMENT trouvé pour ce ticker
BICB     (aucun cycle) — aucun DIVIDEND_PAYMENT trouvé pour ce ticker
BRVM30   (aucun cycle) — aucun DIVIDEND_PAYMENT trouvé pour ce ticker
BRVMC    (aucun cycle) — aucun DIVIDEND_PAYMENT trouvé pour ce ticker
CABC     FY2023   — seulement 0 jours avec prix sur la fenêtre ±60j
CABC     FY2024   — seulement 0 jours avec prix sur la fenêtre ±60j
LNBB     (aucun cycle) — aucun DIVIDEND_PAYMENT trouvé pour ce ticker
ORGT     (aucun cycle) — aucun DIVIDEND_PAYMENT trouvé pour ce ticker
PRSC     FY2023   — seulement 0 jours avec prix sur la fenêtre ±60j
PRSC     FY2024   — seulement 0 jours avec prix sur la fenêtre ±60j
SAFC     (aucun cycle) — aucun DIVIDEND_PAYMENT trouvé pour ce ticker
SCRC     (aucun cycle) — aucun DIVIDEND_PAYMENT trouvé pour ce ticker
