ticker,fiscal_year,entree_offset,sortie_offset,date_entree,date_sortie,rendement_cycle,benchmark_cycle,alpha_cycle
SPHC,2024,5,-5,2025-04-13,2025-07-12,50.9872,13.5483,37.439
STBC,2021,5,-5,2022-07-03,2022-07-16,-4.4177,1.2304,-5.6481
STBC,2022,5,-5,2023-07-05,2023-07-22,10.5055,-0.0061,10.5116
STBC,2023,5,-5,2024-06-26,2024-07-24,-2.7778,2.0256,-4.8034
STBC,2024,5,-5,2025-08-04,2025-08-24,8.0605,4.0563,4.0041
TTLC,2021,5,-5,2022-06-21,2022-08-20,2.2573,-2.1261,4.3834
TTLC,2022,5,-5,2023-06-20,2023-09-16,7.2261,5.4564,1.7697
TTLC,2023,5,-5,2024-06-26,2024-09-12,27.1868,11.7698,15.417
TTLC,2024,5,-5,2025-06-24,2025-08-29,-1.7408,10.537,-12.2778
BOAB,2021,5,0,2022-04-18,2022-05-25,-2.3333,-3.89,1.5567
BOAB,2022,5,0,2023-04-19,2023-05-25,5.0202,-1.902,6.9222
BOAB,2023,5,0,2024-04-17,2024-05-27,10.1517,3.6934,6.4584
BOAB,2024,5,0,2025-04-07,2025-06-03,3.8257,9.3571,-5.5314
BOAB,2025,5,0,2026-05-05,2026-05-15,8.0541,2.8174,5.2367
BOABF,2021,5,0,2022-04-03,2022-05-04,4.9667,-1.4306,6.3972
BOABF,2022,5,0,2023-04-04,2023-05-05,12.5714,-0.561,13.1324
BOABF,2023,5,0,2024-04-02,2024-05-06,4.9437,1.0165,3.9271
BOABF,2024,5,0,2025-03-22,2025-04-22,-0.186,-0.2239,0.0379
BOABF,2025,5,0,2026-03-28,2026-04-23,5.5717,-0.5658,6.1375
BOAC,2021,5,0,2022-04-05,2022-04-28,2.3684,1.2072,1.1612
BOAC,2022,5,0,2023-04-03,2023-04-28,11.451,-0.6207,12.0716
BOAC,2023,5,0,2024-04-02,2024-04-29,7.0069,1.4315,5.5754
BOAC,2024,5,0,2025-04-21,2025-05-20,9.9332,7.1215,2.8118
BOAC,2025,5,0,2026-04-20,2026-05-06,6.7969,-0.6177,7.4145
BOAM,2023,5,0,2024-04-28,2024-05-21,19.1667,0.032,19.1347
BOAM,2024,5,0,2025-04-15,2025-06-03,8.1937,9.4538,-1.2601
BOAM,2025,5,0,2026-04-19,2026-06-03,12.8732,7.2603,5.6128
BOAN,2021,5,0,2022-04-04,2022-05-12,14.1469,-1.4609,15.6079
BOAN,2022,5,0,2023-04-04,2023-05-25,1.7982,-1.7867,3.5849
BOAN,2023,5,0,2024-04-09,2024-05-31,-4.7051,3.1872,-7.8923
BOAS,2021,5,0,2022-04-20,2022-06-01,9.5876,-2.0502,11.6378
BOAS,2022,5,0,2023-04-05,2023-06-01,32.1841,-2.7754,34.9595
BOAS,2023,5,0,2024-04-23,2024-06-27,21.5279,5.0154,16.5125
BOAS,2024,5,0,2025-04-13,2025-06-02,8.2927,9.7677,-1.475
BOAS,2025,5,0,2026-05-05,2026-06-01,11.4187,7.7716,3.6471
CABC,2021,5,0,2022-04-12,2022-08-02,0.7759,-0.5656,1.3415
CABC,2025,5,0,2026-05-02,2026-06-01,1.445,6.0314,-4.5864
CBIBF,2021,5,0,2022-04-12,2022-07-06,-3.3846,2.0079,-5.3925
CBIBF,2022,5,0,2023-04-22,2023-07-06,13.7304,0.2235,13.5069
CBIBF,2023,5,0,2024-04-17,2024-07-05,18.0204,5.9874,12.033
CBIBF,2024,5,0,2025-05-04,2025-07-07,10.8763,12.8808,-2.0045
CBIBF,2025,5,0,2026-04-21,2026-06-19,38.6905,13.3367,25.3538
CFAC,2021,5,0,2022-06-26,2022-08-02,-1.2571,0.9011,-2.1582
CFAC,2022,5,0,2023-07-02,2023-09-15,13.0864,3.5514,9.535
CFAC,2023,5,0,2024-07-02,2024-08-30,1.0219,7.4758,-6.4539
CIEC,2021,5,0,2022-06-25,2022-07-25,3.8261,1.3753,2.4508
CIEC,2022,5,0,2023-06-25,2023-07-31,18.55,3.8579,14.6921
CIEC,2023,5,0,2024-07-01,2024-07-30,4.6617,2.8623,1.7994
CIEC,2025,5,0,2026-06-29,2026-07-01,6.5067,1.3983,5.1085
ECOC,2021,5,0,2022-04-10,2022-04-29,3.9445,1.9503,1.9942
ECOC,2022,5,0,2023-05-01,2023-05-30,6.8972,-1.2495,8.1467
ECOC,2023,5,0,2024-04-30,2024-05-30,16.1421,0.3997,15.7425
ECOC,2024,5,0,2025-05-04,2025-05-30,21.1269,7.3506,13.7763
ECOC,2025,5,0,2026-04-29,2026-05-22,5.4479,3.623,1.8249
FTSC,2023,5,0,2024-06-25,2024-09-30,226.7009,12.5108,214.1901
NSBC,2022,5,0,2023-05-24,2023-07-07,15.2427,1.6473,13.5954
NSBC,2023,5,0,2024-05-28,2024-07-08,13.6833,2.6626,11.0208
NSBC,2024,5,0,2025-05-31,2025-07-09,19.3757,3.3754,16.0003
NTLC,2021,5,0,2022-05-25,2022-08-02,7.4714,3.5512,3.9202
NTLC,2022,5,0,2023-05-17,2023-08-08,19.6774,3.598,16.0794
NTLC,2023,5,0,2024-06-16,2024-08-20,5.3636,5.1195,0.244
NTLC,2024,5,0,2025-06-17,2025-08-18,14.2727,9.0479,5.2248
ONTBF,2021,5,0,2022-05-17,2022-06-15,16.5667,2.3743,14.1924
ONTBF,2022,5,0,2023-05-14,2023-06-26,8.8815,0.1957,8.6857
ONTBF,2023,5,0,2024-06-29,2024-07-31,16.8731,2.4048,14.4682
ONTBF,2024,5,0,2025-06-02,2025-07-21,7.2,6.6568,0.5432
ONTBF,2025,5,0,2026-05-04,2026-06-15,5.9148,11.2727,-5.3578
ORAC,2022,5,0,2023-04-18,2023-06-15,11.4365,-3.0262,14.4627
ORAC,2023,5,0,2024-04-21,2024-06-03,11.9355,3.4545,8.481
ORAC,2024,5,0,2025-04-15,2025-06-11,13.4759,11.1344,2.3414
ORAC,2025,5,0,2026-05-23,2026-06-08,9.8071,4.5788,5.2283
PRSC,2021,5,0,2022-07-05,2022-08-30,4.64,-3.4463,8.0863
PRSC,2022,5,0,2023-07-01,2023-09-13,12.3548,3.865,8.4899
SHEC,2021,5,0,2022-09-27,2022-10-28,6.6667,0.2455,6.4211
SHEC,2022,5,0,2023-11-26,2023-12-28,-3.3735,1.255,-4.6285
SLBC,2023,5,0,2024-06-05,2025-07-29,141.1291,60.3796,80.7495
SLBC,2024,5,0,2025-05-26,2025-07-29,32.5206,9.9463,22.5744
SMBC,2021,5,0,2022-06-26,2022-08-24,-6.993,-1.1499,-5.8432
SMBC,2023,5,0,2024-06-19,2024-09-30,16.9917,13.0836,3.9081
SNTS,2021,5,0,2022-05-03,2022-05-18,1.756,-2.9394,4.6954
SNTS,2022,5,0,2023-04-23,2023-05-17,4.2453,-1.366,5.6113
SNTS,2025,5,0,2026-04-21,2026-05-25,6.4789,5.4101,1.0688
SOGC,2021,5,0,2022-06-20,2022-07-21,4.1832,0.2253,3.958
SOGC,2022,5,0,2023-06-18,2023-07-17,-7.8261,3.679,-11.5051
SOGC,2023,5,0,2024-05-29,2024-08-06,41.0191,5.5709,35.4482
SOGC,2024,5,0,2025-05-25,2025-07-15,11.2609,4.4751,6.7858
SPHC,2021,5,0,2022-06-18,2022-08-04,-0.9606,-0.6184,-0.3423
SPHC,2022,5,0,2023-06-17,2023-09-29,-12.9134,3.9204,-16.8338
SPHC,2023,5,0,2024-06-09,2024-08-12,36.5844,5.4259,31.1585
